"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VDMLR040",1,0.6640625,0.649350649350649,0.646551724137931,0.646551724137931,0.616666666666667,0.505813953488372,0.693548387096774,NA,NA,0.598039215686274,NA,0.590425531914894,0.572463768115942,0.636363636363636,0.547872340425532,0.637931034482759,0.481132075471698,0.591549295774648,NA,NA,0.75,0.617021276595745,0.595744680851064,NA,0.582278481012658,NA,NA,NA,0.571428571428571,0.664893617021277,NA,0.606382978723404,0.73936170212766,NA,0.5625,0.640350877192982,NA,NA,NA,0.7,0.653846153846154,0.674603174603175,NA,0.707446808510638,NA,0.604166666666667,0.61046511627907,0.588709677419355,0.570422535211268,0.71978021978022,NA,NA,NA,NA,0.6875,NA,0.652542372881356,0.722222222222222,NA,0.6484375,0.641176470588235,0.617283950617284,0.650602409638554,0.688311688311688,0.625,NA,NA,0.695652173913043
"VDMWL101",0.6640625,1,0.6875,0.655172413793103,0.758620689655172,0.541666666666667,0.609375,0.733870967741935,NA,NA,0.568627450980392,NA,0.671875,0.6875,0.627272727272727,0.6953125,0.625,0.679245283018868,0.6328125,NA,NA,0.6953125,0.65625,0.6328125,NA,0.651785714285714,NA,NA,NA,0.7109375,0.640625,NA,0.625,0.609375,NA,0.46875,0.684210526315789,NA,NA,NA,0.6171875,0.703125,0.698412698412698,NA,0.5625,NA,0.65625,0.669642857142857,0.580645161290323,0.515625,0.65625,NA,NA,NA,NA,0.5703125,NA,0.559322033898305,0.698412698412698,NA,NA,0.515625,0.666666666666667,0.547169811320755,NA,0.696428571428571,NA,NA,0.584905660377358
"IWRD578A",0.649350649350649,0.6875,1,0.65625,0.625,0.537878787878788,0.680722891566265,0.625,NA,NA,0.508771929824561,NA,0.614457831325301,0.726666666666667,0.647540983606557,0.63855421686747,0.566265060240964,0.525423728813559,0.623376623376623,NA,NA,0.6,0.620481927710843,0.650602409638554,NA,0.601449275362319,NA,0.648148148148148,NA,0.674698795180723,0.493975903614458,NA,0.602409638554217,0.650602409638554,NA,0.547297297297297,0.650793650793651,NA,NA,NA,0.602409638554217,0.598591549295775,0.557971014492754,NA,0.512048192771084,NA,0.532051282051282,0.666666666666667,0.647058823529412,0.5,0.632530120481928,NA,NA,NA,NA,0.5859375,0.576923076923077,0.492307692307692,0.594202898550725,NA,NA,0.596385542168675,0.6328125,0.492424242424242,0.658333333333333,0.589285714285714,NA,NA,0.613636363636364
"VDMLR25Q",0.646551724137931,0.655172413793103,0.65625,1,0.686567164179104,0.604477611940299,0.611940298507463,0.619402985074627,NA,NA,0.65,NA,0.604477611940299,0.641791044776119,0.6328125,0.544776119402985,0.619402985074627,0.612903225806452,0.723880597014925,NA,NA,0.582089552238806,0.604477611940299,0.537313432835821,NA,0.69,NA,0.666666666666667,NA,0.634328358208955,0.5,NA,0.537313432835821,0.634328358208955,NA,0.566666666666667,0.666666666666667,NA,NA,NA,0.604477611940299,0.529850746268657,0.694029850746269,0.57,0.559701492537313,NA,0.641791044776119,0.57,0.626865671641791,0.611940298507463,0.522388059701492,NA,NA,NA,NA,0.672413793103448,0.763636363636364,0.723880597014925,0.701492537313433,NA,NA,0.552238805970149,NA,NA,NA,0.62,NA,NA,NA
"VDMWL081",0.646551724137931,0.758620689655172,0.625,0.686567164179104,1,0.615942028985507,0.652173913043478,0.673913043478261,NA,NA,0.661290322580645,NA,0.659420289855073,0.608695652173913,0.659090909090909,0.572463768115942,0.644927536231884,0.65625,0.681159420289855,NA,NA,0.594202898550725,0.615942028985507,0.579710144927536,NA,0.71,NA,0.559322033898305,NA,0.58695652173913,0.601449275362319,NA,0.565217391304348,0.659420289855073,NA,0.616666666666667,0.573529411764706,NA,NA,NA,0.688405797101449,0.630434782608696,0.644927536231884,0.586538461538462,0.601449275362319,NA,0.608695652173913,0.63,0.656716417910448,0.565217391304348,0.63768115942029,NA,NA,NA,NA,0.603448275862069,0.631578947368421,0.659420289855073,0.608695652173913,NA,NA,0.521739130434783,NA,NA,NA,0.66,NA,NA,NA
"VDMWL111",0.616666666666667,0.541666666666667,0.537878787878788,0.604477611940299,0.615942028985507,1,0.5,0.676056338028169,NA,NA,0.669354838709677,NA,0.633802816901408,0.542253521126761,0.590909090909091,0.563380281690141,0.563380281690141,0.6640625,0.514084507042254,NA,NA,0.612676056338028,0.605633802816901,0.612676056338028,NA,0.596153846153846,NA,0.669491525423729,NA,0.563380281690141,0.577464788732394,NA,0.669014084507042,0.591549295774648,NA,0.604838709677419,0.625,NA,NA,NA,0.549295774647887,0.52112676056338,0.619718309859155,0.634615384615385,0.563380281690141,NA,0.626760563380282,0.519230769230769,0.615942028985507,0.626760563380282,0.584507042253521,NA,NA,NA,NA,0.575,0.62280701754386,0.585714285714286,0.711267605633803,NA,NA,0.669014084507042,NA,NA,NA,0.567307692307692,NA,NA,NA
"WOE0002Q",0.505813953488372,0.609375,0.680722891566265,0.611940298507463,0.652173913043478,0.5,1,0.5,NA,NA,0.545454545454545,NA,0.559405940594059,0.666666666666667,0.692857142857143,0.569306930693069,0.618811881188119,0.573529411764706,0.627906976744186,NA,NA,0.556962025316456,0.594059405940594,0.569306930693069,NA,0.628205128205128,NA,0.555555555555556,NA,0.505434782608696,0.495049504950495,NA,0.53960396039604,0.599009900990099,NA,0.581081081081081,0.611111111111111,NA,NA,NA,0.626315789473684,0.54375,0.57051282051282,0.401785714285714,0.504950495049505,NA,0.505747126436782,0.634615384615385,0.619718309859155,0.546511627906977,0.544554455445545,NA,NA,NA,NA,0.5703125,0.491803278688525,0.451388888888889,0.487179487179487,NA,0.6875,0.57,0.657534246575342,0.626666666666667,0.63768115942029,0.589285714285714,NA,NA,0.608695652173913
"VNW00071",0.693548387096774,0.733870967741935,0.625,0.619402985074627,0.673913043478261,0.676056338028169,0.5,1,NA,0.6,0.58955223880597,NA,0.705128205128205,0.647435897435897,0.605633802816901,0.641025641025641,0.58974358974359,0.688405797101449,0.647435897435897,NA,NA,0.711538461538462,0.615384615384615,0.698717948717949,NA,0.648148148148148,NA,0.7109375,NA,0.641025641025641,0.602564102564103,NA,0.647435897435897,0.641025641025641,NA,0.5703125,0.595890410958904,NA,NA,NA,0.666666666666667,0.653846153846154,0.628205128205128,0.684210526315789,0.653846153846154,NA,0.66025641025641,0.592592592592593,0.640845070422535,0.621794871794872,0.66025641025641,NA,NA,NA,NA,0.5,0.653225806451613,0.611111111111111,0.75,NA,NA,0.564935064935065,NA,0.598039215686274,NA,0.675925925925926,NA,NA,0.676470588235294
"VDMWL321",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00012",NA,NA,NA,NA,NA,NA,NA,0.6,NA,1,0.740384615384615,NA,0.625,0.759615384615385,0.596153846153846,0.644230769230769,0.538461538461538,0.625,0.653846153846154,NA,NA,0.682692307692308,0.66,0.721153846153846,NA,NA,NA,0.701923076923077,NA,0.644230769230769,0.480769230769231,NA,0.644230769230769,0.605769230769231,0.57,NA,0.644230769230769,NA,NA,NA,0.65,0.490384615384615,0.663461538461538,0.701923076923077,0.647058823529412,NA,0.721153846153846,NA,NA,0.586538461538462,0.615384615384615,NA,NA,NA,NA,NA,0.740384615384615,NA,0.778846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
