"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VDMLR040",0,0.00866489672602522,0.00876482817977497,0.0256011291775557,0.0256011291775557,0.0707011448659829,0.91412834520142,0.00230367590769087,NA,NA,0.161429462367083,NA,0.0795306062273884,0.228644262341077,0.0431144467830755,0.353262801284598,0.0100800793571914,1.21646950222589,0.122875388479331,NA,NA,6.334248366624e-05,0.0232606195854517,0.0633740293997294,NA,0.143572955977654,NA,NA,NA,0.20999967175561,0.00138669664539082,NA,0.0391275953556875,3.46063843648103e-06,NA,0.288844366346485,0.0340691951441441,NA,NA,NA,0.000346619351134558,0.0131126632651559,0.00557576433299123,NA,5.75731731242701e-05,NA,0.0770998717435416,0.0404794561132102,0.162413151022009,0.235313755477074,2.75120324961797e-05,NA,NA,NA,NA,0.00269979606326021,NA,0.0191088636447405,0.000419236969541048,NA,0.0175489501914767,0.00923673548680659,0.0347627626222284,0.00606758496651283,0.000950249659226632,0.0613688291394021,NA,NA,0.00115235481731935
"VDMWL101",0.00866489672602522,1.33226762955019e-15,0.00269979606326021,0.0181024551494622,8.17561486672336e-05,0.518605016428725,0.0801183137276342,0.000230501827946483,NA,NA,0.326989349598015,NA,0.00595952647010911,0.00269979606326021,0.0590582290905368,0.00177805059821678,0.0455002638963584,0.00905817422147304,0.0335866128968976,NA,NA,0.00177805059821678,0.0124193306515523,0.0335866128968976,NA,0.0231033938017642,NA,NA,NA,0.000738156908550058,0.0244489453100893,NA,0.0455002638963584,0.0801183137276342,NA,1.38292492254803,0.00541053385608481,NA,NA,NA,0.0607927235305228,0.00115405008478153,0.0016343599239137,NA,0.317310507862914,NA,0.0124193306515523,0.0111175607161069,0.204084177765574,0.802587348634153,0.0124193306515523,NA,NA,NA,NA,0.260589034273618,NA,0.362125539491662,0.0016343599239137,NA,NA,0.802587348634153,0.0172902805929063,0.492206992655816,NA,0.00328346098606902,NA,NA,0.216367480257598
"IWRD578A",0.00876482817977497,0.00269979606326021,0,0.0124193306515523,0.0455002638963584,0.538252657988501,0.000991499322938516,0.0392503304676928,NA,NA,0.894625809546728,NA,0.0370220394324163,8.63766759471307e-05,0.0211854076157378,0.0115837302278798,0.227275494999965,0.696117519543456,0.0303684722342539,NA,NA,0.0942643068412103,0.0281431458962615,0.00606758496651283,NA,0.0919110489953598,NA,0.0294563856325714,NA,0.00145675309428883,1.08740366387684,NA,0.0620424260314265,0.00606758496651283,NA,0.415797654962932,0.0166759752604679,NA,NA,NA,0.0620424260314265,0.0966142084478523,0.335503953072994,NA,0.826238365918729,NA,0.571299621499449,0.00562502770575413,0.015293371030199,1,0.0157432588934541,NA,NA,NA,NA,0.169131444702671,0.267257493154388,1.09871222681997,0.117579136618694,NA,NA,0.0790494582515477,0.0335866128968976,1.09796535074555,0.0141713882540122,0.18144920772142,NA,NA,0.0648381569920664
"VDMLR25Q",0.0256011291775557,0.0181024551494622,0.0124193306515523,2.22044604925031e-16,0.0022563442406387,0.0871970644902111,0.0668707601224647,0.0506171780523177,NA,NA,0.0201367515503463,NA,0.0871970644902111,0.0202750033611268,0.0335866128968976,0.46354826453124,0.0506171780523177,0.0754035628712635,0.000247258062175959,NA,NA,0.17899240543729,0.0871970644902111,0.541300728047223,NA,0.0072095707647426,NA,0.0118489409283475,NA,0.0278743673399469,1,NA,0.541300728047223,0.0278743673399469,NA,0.301699582478348,0.0067687411469155,NA,NA,NA,0.0871970644902111,0.625069839129129,0.00149112334427559,0.322198806162581,0.328393158355313,NA,0.0202750033611268,0.322198806162581,0.0378125849558277,0.0668707601224647,0.713985795669383,NA,NA,NA,NA,0.00863621676031956,9.21589680633605e-05,0.000247258062175959,0.000971769173970793,NA,NA,0.392448124247575,NA,NA,NA,0.0896860217703646,NA,NA,NA
"VDMWL081",0.0256011291775557,8.17561486672336e-05,0.0455002638963584,0.0022563442406387,0,0.0540826948986126,0.0114680730222376,0.00386149066333341,NA,NA,0.0110851663806026,NA,0.0080852535927074,0.0709514924273056,0.00974012240527178,0.228644262341077,0.0160526164081125,0.0124193306515523,0.00261552056533798,NA,NA,0.117579136618694,0.0540826948986126,0.18542189470596,NA,0.00297946665633297,NA,0.362125539491662,NA,0.148561774891869,0.0919110489953598,NA,0.278598671837962,0.0080852535927074,NA,0.0707011448659829,0.225252906360653,NA,NA,NA,0.00174787154504208,0.0302390210161487,0.0160526164081125,0.212003430922826,0.0919110489953598,NA,0.0709514924273056,0.0659920550593476,0.0103009899565105,0.278598671837962,0.0221764982046724,NA,NA,NA,NA,0.115100215832571,0.046944726978482,0.0080852535927074,0.0709514924273056,NA,NA,0.717981666733777,NA,NA,NA,0.023651616655356,NA,NA,NA
"VDMWL111",0.0707011448659829,0.518605016428725,0.538252657988501,0.0871970644902111,0.0540826948986126,0,1,0.00300765811436254,NA,NA,0.0076531064548393,NA,0.0241405386284388,0.476422052701024,0.13964939861043,0.285473830698586,0.285473830698586,0.00866489672602522,0.812380364087885,NA,NA,0.0575841150728758,0.0750477365274085,0.0575841150728758,NA,0.16551785869747,NA,0.00922023989142251,NA,0.285473830698586,0.191736319002108,NA,0.00439567879110303,0.122875388479331,NA,0.0987382377746246,0.0392503304676928,NA,NA,NA,0.406116478219557,0.721814730439508,0.0436403566858472,0.0522036353413147,0.285473830698586,NA,0.0326625463863051,0.781511294998714,0.0540826948986126,0.0326625463863051,0.154406531107647,NA,NA,NA,NA,0.245278116806773,0.0636897751366288,0.15149399240422,0.000370367912422509,NA,NA,0.00439567879110303,NA,NA,NA,0.331685068056863,NA,NA,NA
"WOE0002Q",0.91412834520142,0.0801183137276342,0.000991499322938516,0.0668707601224647,0.0114680730222376,1,0,1,NA,NA,0.46018093544712,NA,0.232460511220827,0.00225022656808571,0.00125044211341052,0.16360404658113,0.0169362279943983,0.225252906360653,0.0176767254458421,NA,NA,0.311261241734114,0.0586816797281726,0.16360404658113,NA,0.023540058261178,NA,0.377821637100063,NA,0.916965236628864,1.07926166479558,NA,0.426014742594247,0.0465827425230156,NA,0.16302438430657,0.0593464387919198,NA,NA,NA,0.0138030648623657,0.43384806576644,0.212946275155601,1.85842113664476,0.920738335204423,NA,0.914621387899687,0.0174171302869,0.0436403566858472,0.388323228978924,0.370501981576031,NA,NA,NA,NA,0.260589034273618,1.10188021274626,1.59060451379008,1.17915276145807,NA,0.00501228714548874,0.161513318467542,0.0071036363997421,0.0282403687333004,0.0221764982046724,0.18144920772142,NA,NA,0.0709514924273056
"VNW00071",0.00230367590769087,0.000230501827946483,0.0392503304676928,0.0506171780523177,0.00386149066333341,0.00300765811436254,1,0,NA,0.157299207050285,0.142639206330572,NA,0.000290883306833356,0.00920790118298487,0.0750477365274085,0.0127380722748576,0.112923660715929,0.00174787154504208,0.00920790118298487,NA,NA,0.000186588907172158,0.0415400670098851,0.000448007601653089,NA,0.0294563856325714,NA,0.000738156908550058,NA,0.0127380722748576,0.0700413368746158,NA,0.00920790118298487,0.0127380722748576,NA,0.260589034273618,0.101301581384927,NA,NA,NA,0.00324083457151869,0.00657841361282641,0.023540058261178,0.00541053385608481,0.00657841361282641,NA,0.00464473394229259,0.173568166555922,0.0176173722345188,0.0314504486919187,0.00464473394229259,NA,NA,NA,NA,1,0.0158217148235129,0.0593464387919198,1.00599682544278e-05,NA,NA,0.254450582646336,NA,0.161429462367083,NA,0.00972174231224177,NA,NA,0.0117186855997686
"VDMWL321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00012",NA,NA,NA,NA,NA,NA,NA,0.157299207050285,NA,5.55111512312578e-13,0.000526544289648267,NA,0.071423457729852,0.000180950490437537,0.16551785869747,0.0375140016155402,0.579099741953919,0.071423457729852,0.0265002806024919,NA,NA,0.00841804406535207,0.023651616655356,0.00142506256199249,NA,NA,NA,0.00358920304256838,NA,0.0375140016155402,1.21848870500129,NA,0.0375140016155402,0.127152992600014,0.322198806162581,NA,0.0375140016155402,NA,NA,NA,0.0338948535246892,1.1102930644669,0.0183996528611927,0.00358920304256838,0.0356919001168046,NA,0.00142506256199249,NA,NA,0.212003430922826,0.0960923294556733,NA,NA,NA,NA,NA,0.000526544289648267,NA,5.78099455743608e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
