"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VDMLR040",0,0.0124193306515523,0.0167034038471614,0.0356494885488894,0.0356494885488894,0.121335250358482,1,0.0052060028871832,NA,NA,0.207578442335624,NA,0.148741860085843,0.278598671837963,0.0796158014601134,0.536013369537822,0.0136685192388737,1.31972045266555,0.191736319002108,NA,NA,0.000176834570401629,0.0988869087792836,0.0988869087792836,NA,0.215865642005832,NA,NA,NA,0.305058859261679,0.00732501570551913,NA,0.0633740293997294,5.67220531966228e-06,NA,0.34577858615116,0.046944726978482,NA,NA,NA,0.000796230157590783,0.0349799446354437,0.0322096856737104,NA,0.000204722600537499,NA,0.0989601540194058,0.0522595003179698,0.309628902730632,0.285473830698586,0.000243504004403094,NA,NA,NA,NA,0.00595952647010911,NA,0.0508393080695018,0.000669729449021883,NA,0.0455002638963584,0.0126063567270478,0.0589067186156618,0.00606758496651283,0.000950249659226632,0.108809430040546,NA,NA,0.00115235481731935
"VDMWL101",0.0124193306515523,1.33226762955019e-15,0.00269979606326021,0.0181024551494622,8.17561486672336e-05,0.605576616335346,0.0801183137276342,0.00037653898208645,NA,NA,0.326989349598015,NA,0.0124193306515523,0.00269979606326021,0.0796158014601134,0.00269979606326021,0.0455002638963584,0.00905817422147304,0.0455002638963584,NA,NA,0.00269979606326021,0.0455002638963584,0.0455002638963584,NA,0.0325094446457195,NA,NA,NA,0.00115405008478153,0.0244489453100893,NA,0.0455002638963584,0.0801183137276342,NA,1.38292492254803,0.00541053385608481,NA,NA,NA,0.0801183137276342,0.00269979606326021,0.00815097159350264,NA,0.317310507862914,NA,0.0124193306515523,0.0161569312611813,0.309628902730632,0.802587348634153,0.0455002638963584,NA,NA,NA,NA,0.317310507862914,NA,0.515082278709643,0.0016343599239137,NA,NA,0.802587348634153,0.0356919001168043,0.492206992655816,NA,0.00752631516645796,NA,NA,0.216367480257598
"IWRD578A",0.0167034038471614,0.00269979606326021,0,0.0124193306515523,0.0455002638963584,0.622460655893455,0.00145675309428883,0.0523450632731632,NA,NA,0.894625809546728,NA,0.0996682865837564,0.000138679405429443,0.0295084120366551,0.0211638035486805,0.323212234622308,0.696117519543455,0.0527050417902266,NA,NA,0.15149399240422,0.0996682865837564,0.0115837302278798,NA,0.18542189470596,NA,0.0294563856325714,NA,0.00304028651017862,1.25806559915165,NA,0.0996682865837564,0.0115837302278798,NA,0.485498802644282,0.0166759752604679,NA,NA,NA,0.0996682865837564,0.191736319002108,0.717981666733777,NA,1.08740366387685,NA,0.650612963932753,0.0114680730222376,0.0290490221619406,1.09073095478578,0.0620424260314263,NA,NA,NA,NA,0.21129954733371,0.267257493154388,1.29018473343428,0.117579136618694,NA,NA,0.0996682865837564,0.0801183137276342,1.19445941133251,0.0201367515503463,0.285049407402613,NA,NA,0.0848377447965702
"VDMLR25Q",0.0356494885488894,0.0181024551494622,0.0124193306515523,2.22044604925031e-16,0.0022563442406387,0.112240493456702,0.0668707601224647,0.0668707601224647,NA,NA,0.0201367515503463,NA,0.17899240543729,0.020275003361127,0.0455002638963584,0.541300728047223,0.0668707601224647,0.0754035628712635,0.000395731902192775,NA,NA,0.27153913587657,0.17899240543729,0.541300728047223,NA,0.0109094983642692,NA,0.0118489409283475,NA,0.0378125849558277,1.09723517497538,NA,0.541300728047223,0.0378125849558277,NA,0.301699582478348,0.0067687411469155,NA,NA,NA,0.112240493456702,0.902764825024622,0.0103009899565105,0.396143909152074,0.392448124247575,NA,0.020275003361127,0.396143909152074,0.0668707601224647,0.0668707601224647,1.09723517497538,NA,NA,NA,NA,0.00863621676031956,9.21589680633605e-05,0.000971769173970793,0.000971769173970793,NA,NA,0.392448124247575,NA,NA,NA,0.157299207050285,NA,NA,NA
"VDMWL081",0.0356494885488894,8.17561486672336e-05,0.0455002638963584,0.0022563442406387,0,0.0709514924273056,0.0114680730222376,0.00562502770575435,NA,NA,0.0110851663806026,NA,0.0221764982046724,0.0709514924273056,0.0138230238203767,0.278598671837963,0.0221764982046724,0.0124193306515523,0.00562502770575435,NA,NA,0.18542189470596,0.117579136618694,0.18542189470596,NA,0.00467773498104718,NA,0.362125539491663,NA,0.18542189470596,0.117579136618694,NA,0.278598671837963,0.0114680730222376,NA,0.0707011448659829,0.225252906360653,NA,NA,NA,0.00261552056533798,0.0709514924273056,0.0709514924273056,0.267257493154388,0.117579136618694,NA,0.0709514924273056,0.0896860217703646,0.020275003361127,0.278598671837963,0.0709514924273056,NA,NA,NA,NA,0.115100215832571,0.046944726978482,0.0221764982046724,0.0709514924273056,NA,NA,0.717981666733777,NA,NA,NA,0.0477148802373513,NA,NA,NA
"VDMWL111",0.121335250358482,0.605576616335346,0.622460655893455,0.112240493456702,0.0709514924273056,0,1.09446966457138,0.00634116343477631,NA,NA,0.0110851663806026,NA,0.0750477365274089,0.552919624971049,0.218354690565902,0.406116478219557,0.406116478219557,0.0124193306515523,1.09446966457138,NA,NA,0.122875388479331,0.191736319002108,0.0750477365274089,NA,0.267257493154388,NA,0.0133763366537931,NA,0.406116478219557,0.285473830698586,NA,0.00634116343477631,0.191736319002108,NA,0.127508330490583,0.0523450632731632,NA,NA,NA,0.552919624971049,1.09446966457138,0.122875388479331,0.0960923294556733,0.406116478219557,NA,0.0436403566858474,1,0.117579136618694,0.0436403566858474,0.406116478219557,NA,NA,NA,NA,0.301699582478348,0.0850890728162037,0.338979843979122,0.000578141889603145,NA,NA,0.00634116343477631,NA,NA,NA,0.579099741953919,NA,NA,NA
"WOE0002Q",1,0.0801183137276342,0.00145675309428883,0.0668707601224647,0.0114680730222376,1.09446966457138,0,1.09073095478578,NA,NA,0.46018093544712,NA,0.370501981576031,0.00225022656808571,0.00188616745924497,0.195821473922615,0.0221034449934205,0.225252906360653,0.0310325195001449,NA,NA,0.430953224000789,0.135553504423097,0.195821473922615,NA,0.0415400670098851,NA,0.377821637100063,NA,1,1.38117660674568,NA,0.486099459736177,0.0586816797281726,NA,0.163024384306571,0.0593464387919198,NA,NA,NA,0.0182872439883239,0.654720846018577,0.496905847564768,1.89119056995945,1.07926166479558,NA,0.914621387899687,0.023540058261178,0.0750477365274089,0.388323228978925,0.618823393254324,NA,NA,NA,NA,0.317310507862914,1.10188021274626,1.76140717068356,1.17915276145807,NA,0.0161569312611813,0.161513318467542,0.0139766056131432,0.0282403687333004,0.0221764982046724,0.285049407402613,NA,NA,0.0709514924273056
"VNW00071",0.0052060028871832,0.00037653898208645,0.0523450632731632,0.0668707601224647,0.00562502770575435,0.00634116343477631,1.09073095478578,0,NA,0.25789903529234,0.17899240543729,NA,0.00152241955556054,0.0127380722748573,0.122875388479331,0.023540058261178,0.174231388248025,0.00261552056533798,0.023540058261178,NA,NA,0.000681710293370941,0.112923660715929,0.000681710293370941,NA,0.0567594463860135,NA,0.00115405008478153,NA,0.023540058261178,0.112923660715929,NA,0.0127380722748573,0.023540058261178,NA,0.317310507862914,0.128125656744294,NA,NA,NA,0.00657841361282641,0.023540058261178,0.112923660715929,0.0118489409283475,0.0127380722748573,NA,0.00657841361282641,0.276302917337483,0.0436403566858474,0.0415400670098851,0.023540058261178,NA,NA,NA,NA,1.20050463813031,0.0222541248230992,0.157299207050285,1.68765258694581e-05,NA,NA,0.305058859261679,NA,0.207578442335624,NA,0.0294563856325714,NA,NA,0.0172902805929063
"VDMWL321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00012",NA,NA,NA,NA,NA,NA,NA,0.25789903529234,NA,5.55111512312578e-13,0.000874087211298447,NA,0.16551785869747,0.000311490976767415,0.267257493154388,0.0522036353413147,0.781511294998713,0.0960923294556733,0.0522036353413147,NA,NA,0.0265002806024919,0.0477148802373513,0.00228193725331538,NA,NA,NA,0.00554566731524408,NA,0.0522036353413147,1.42090025804608,NA,0.0522036353413147,0.267257493154388,0.396143909152074,NA,0.0522036353413147,NA,NA,NA,0.0477148802373513,1.42090025804608,0.0522036353413147,0.00554566731524408,0.0687035743228783,NA,0.00228193725331538,NA,NA,0.267257493154388,0.267257493154388,NA,NA,NA,NA,NA,0.000874087211298447,NA,0.000103217441495218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
