"","-100.-77","-88.-65","-76.-53","-64.-41","-52.-29","-40.-17","-28.-5","-16.7","-4.19","8.31","20.43","32.55","44.67","56.79","68.91","80.103","92.115"
"VDMLR040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70591058454878,0.621792110216423,0.751223933650481,0.576593944313675,0.638094711456197,NA,NA
"VDMWL101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634813662772537,0.425653673127648,0.577368745140926,NA,NA
"IWRD578A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617753505932554,0.665106277723251,0.664833238260711,0.448366021813248,0.241409211522473,NA
"VDMLR25Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612329480787456,0.608678071676743,0.531741936254974,NA
"VDMWL081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526179835246693,0.502355417866612,0.293526851088059,NA
"VDMWL111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296635494649773,0.630370310969728,0.664485406169273,0.496846763676191,NA
"WOE0002Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549698832741233,0.578992747470845,0.327946843484572,0.542055530034493,0.477004433851862,0.433298170521923,0.359862943495657
"VNW00071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506675916500829,0.541254469641825,0.543466370918368,0.508684413224206,0.668476159405379
"VDMWL321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549473724718027
"VRW00012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729397586848404,0.599162648664399
"VNW00111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749423193624308,0.295415534288368,0.208290570474727,0.628171189309294
"VRW00051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530314096082002,0.706504578368837
"VRW00070",NA,NA,NA,NA,NA,0.506945926915974,0.43170472640942,0.390292534058729,0.305057159413958,0.626214531293784,0.715005970126322,0.761747550907997,0.66750905474293,0.648145388339953,0.735920217519031,0.467128970555559,0.415089290148791
"VNW00051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541031310774242,0.400155635357874,0.726497530763597,0.65256034478023,0.519903675955311
"VNW00061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6664355588767,0.791542700476767,0.636471160543465,0.389352880025156
"VDMLR071",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653612147433812,0.784327061238356,0.762904877123756,0.707563508018706,0.763288959487396,0.832569826802958,0.774768305934106,0.741312522439253
"VDMLR161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.670252281156057,0.738257750254035,0.759910471979971,0.721850861301836,0.550762292437503,0.350103809960684,0.506185989877251
"VDMWL121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474505628267492,0.567727902266613,0.665778898795107,0.578517198318176
"VRW00021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527158956819139,0.605620520044824,0.268917131542177,0.312360654576482,0.72315133745503
"VDMLR111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1GD0001M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735958539369937,0.520010636246649,0.677208131622757,0.726381364428845,0.683015654387248
"1GD0002A",0.651585100676242,0.588821941223281,0.497488804645283,0.482455280212304,0.616884635821753,0.554155338487421,0.469132809131305,0.585478295238961,0.771363185065412,0.553686003265044,0.293478712242377,0.401149848100104,0.498253093173227,0.455020680071637,0.63335435305406,0.705535852334937,0.511314760214658
"1GD0003B",NA,NA,NA,NA,NA,NA,NA,0.717839757560903,0.635671848508644,0.69105052340874,0.762715328891921,0.548581957116128,0.509376537813627,0.70186540080257,0.556014045921368,0.47575316428579,0.393807200560683
"VAL00251",NA,NA,NA,NA,0.495042167348087,0.55199928295258,0.474087849320059,0.218802239729174,0.215442826374352,0.469929097384655,0.378940742759545,NA,NA,NA,NA,NA,NA
"VDM2W010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491027972476582,0.595201845296776,0.705941890128528,0.839340396471589,0.760616637942719,NA,NA
"VDM2W020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585914781013081,0.61248320628235
"VDM2W031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617252026539869,0.750302208759855,0.727895242528429,0.56002892633644
