"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VDMLR040",1,0.65625,0.636363636363636,0.637931034482759,0.637931034482759,0.6,0.5,0.67741935483871,NA,0.617647058823529,0.588235294117647,NA,0.574468085106383,0.565217391304348,0.618181818181818,0.531914893617021,0.632183908045977,0.471698113207547,0.577464788732394,NA,NA,0.734375,0.585106382978723,0.585106382978723,0.651162790697674,0.569620253164557,0.482758620689655,0.583333333333333,NA,0.558441558441558,0.638297872340426,NA,0.595744680851064,0.734042553191489,0.59375,0.555555555555556,0.631578947368421,NA,0.633333333333333,NA,0.6875,0.630769230769231,0.634920634920635,0.585365853658537,0.691489361702128,0.645161290322581,0.597222222222222,0.604651162790698,0.564516129032258,0.563380281690141,0.692307692307692,0.444444444444444,NA,NA,0.466666666666667,0.671875,0.58695652173913,0.627118644067797,0.714285714285714,0.697674418604651,0.625,0.635294117647059,0.604938271604938,0.650602409638554,0.688311688311688,0.607142857142857,0.688888888888889,0.729166666666667,0.695652173913043
"VDMWL101",0.65625,1,0.6875,0.655172413793103,0.758620689655172,0.533333333333333,0.609375,0.725806451612903,NA,0.647058823529412,0.568627450980392,NA,0.65625,0.6875,0.618181818181818,0.6875,0.625,0.679245283018868,0.625,NA,NA,0.6875,0.625,0.625,NA,0.642857142857143,0.655172413793103,0.729166666666667,NA,0.703125,0.640625,NA,0.625,0.609375,0.6875,0.46875,0.684210526315789,NA,0.733333333333333,NA,0.609375,0.6875,0.666666666666667,0.731707317073171,0.5625,0.645161290322581,0.65625,0.660714285714286,0.564516129032258,0.515625,0.625,0.592592592592593,NA,NA,0.733333333333333,0.5625,0.717391304347826,0.542372881355932,0.698412698412698,0.581395348837209,0.705882352941177,0.515625,0.647058823529412,0.547169811320755,0.680851063829787,0.678571428571429,0.466666666666667,0.583333333333333,0.584905660377358
"IWRD578A",0.636363636363636,0.6875,1,0.65625,0.625,0.53030303030303,0.674698795180723,0.617647058823529,0.357142857142857,0.575,0.508771929824561,0.620689655172414,0.590361445783133,0.72,0.639344262295082,0.626506024096386,0.55421686746988,0.525423728813559,0.61038961038961,NA,NA,0.585714285714286,0.590361445783133,0.63855421686747,0.615384615384615,0.579710144927536,0.514285714285714,0.648148148148148,0.482758620689655,0.662650602409639,0.481927710843373,NA,0.590361445783133,0.63855421686747,0.578947368421053,0.540540540540541,0.650793650793651,NA,0.611111111111111,0.551724137931034,0.590361445783133,0.577464788732394,0.521739130434783,0.638297872340426,0.493975903614458,0.594594594594595,0.525641025641026,0.652173913043478,0.632352941176471,0.493506493506494,0.602409638554217,0.484848484848485,NA,0.428571428571429,0.472222222222222,0.578125,0.576923076923077,0.476923076923077,0.594202898550725,0.604651162790698,0.680851063829787,0.590361445783133,0.609375,0.484848484848485,0.65,0.571428571428571,0.444444444444444,0.729166666666667,0.606060606060606
"VDMLR25Q",0.637931034482759,0.655172413793103,0.65625,1,0.686567164179104,0.597014925373134,0.611940298507463,0.611940298507463,0.612903225806452,0.697674418604651,0.65,0.5625,0.582089552238806,0.641791044776119,0.625,0.537313432835821,0.611940298507463,0.612903225806452,0.716417910447761,NA,NA,0.567164179104478,0.582089552238806,0.537313432835821,NA,0.68,0.631578947368421,0.666666666666667,0.5625,0.626865671641791,0.492537313432836,NA,0.537313432835821,0.626865671641791,0.609756097560976,0.566666666666667,0.666666666666667,NA,0.641025641025641,0.40625,0.597014925373134,0.507462686567164,0.656716417910448,0.56,0.552238805970149,0.625,0.641791044776119,0.56,0.611940298507463,0.611940298507463,0.492537313432836,0.555555555555556,NA,0.451612903225806,0.487179487179487,0.672413793103448,0.763636363636364,0.701492537313433,0.701492537313433,0.604651162790698,0.607142857142857,0.552238805970149,0.6,0.617021276595745,0.731707317073171,0.6,0.6,0.613636363636364,0.531914893617021
"VDMWL081",0.637931034482759,0.758620689655172,0.625,0.686567164179104,1,0.608695652173913,0.652173913043478,0.666666666666667,0.666666666666667,0.644444444444444,0.661290322580645,0.441176470588235,0.63768115942029,0.608695652173913,0.651515151515151,0.565217391304348,0.63768115942029,0.65625,0.666666666666667,NA,NA,0.579710144927536,0.594202898550725,0.579710144927536,NA,0.7,0.6,0.559322033898305,0.676470588235294,0.579710144927536,0.594202898550725,NA,0.565217391304348,0.652173913043478,0.720930232558139,0.616666666666667,0.573529411764706,NA,0.536585365853659,0.352941176470588,0.681159420289855,0.608695652173913,0.608695652173913,0.576923076923077,0.594202898550725,0.523809523809524,0.608695652173913,0.62,0.641791044776119,0.565217391304348,0.608695652173913,0.631578947368421,0.52,0.454545454545455,0.634146341463415,0.603448275862069,0.631578947368421,0.63768115942029,0.608695652173913,0.581395348837209,0.714285714285714,0.521739130434783,0.666666666666667,0.617021276595745,0.804878048780488,0.64,0.555555555555556,0.659090909090909,0.617021276595745
"VDMWL111",0.6,0.533333333333333,0.53030303030303,0.597014925373134,0.608695652173913,1,0.492957746478873,0.661971830985915,0.727272727272727,0.666666666666667,0.661290322580645,0.5,0.605633802816901,0.535211267605634,0.575757575757576,0.549295774647887,0.549295774647887,0.65625,0.492957746478873,NA,NA,0.591549295774648,0.577464788732394,0.605633802816901,NA,0.576923076923077,0.65,0.661016949152542,0.558823529411765,0.549295774647887,0.563380281690141,NA,0.661971830985915,0.577464788732394,0.627906976744186,0.596774193548387,0.617647058823529,NA,0.658536585365854,0.411764705882353,0.535211267605634,0.492957746478873,0.591549295774648,0.615384615384615,0.549295774647887,0.547619047619048,0.619718309859155,0.5,0.594202898550725,0.619718309859155,0.549295774647887,0.526315789473684,0.56,0.515151515151515,0.560975609756098,0.566666666666667,0.614035087719298,0.557142857142857,0.704225352112676,0.418604651162791,0.6,0.661971830985915,0.638297872340426,0.591836734693878,0.627906976744186,0.538461538461538,0.6,0.565217391304348,0.693877551020408
"WOE0002Q",0.5,0.609375,0.674698795180723,0.611940298507463,0.652173913043478,0.492957746478873,1,0.493506493506494,0.459459459459459,0.551020408163265,0.545454545454545,0.5,0.544554455445545,0.666666666666667,0.685714285714286,0.564356435643564,0.613861386138614,0.573529411764706,0.616279069767442,NA,0.36,0.544303797468354,0.574257425742574,0.564356435643564,0.542857142857143,0.615384615384615,0.590909090909091,0.555555555555556,0.578947368421053,0.5,0.475247524752475,NA,0.534653465346535,0.594059405940594,0.553191489361702,0.581081081081081,0.611111111111111,0.538461538461538,0.533333333333333,0.552631578947368,0.621052631578947,0.525,0.538461538461538,0.392857142857143,0.495049504950495,0.521739130434783,0.505747126436782,0.628205128205128,0.605633802816901,0.546511627906977,0.524752475247525,0.619047619047619,0.517241379310345,0.540540540540541,0.6,0.5625,0.491803278688525,0.430555555555556,0.487179487179487,0.534883720930233,0.660714285714286,0.57,0.643835616438356,0.626666666666667,0.63768115942029,0.571428571428571,0.488888888888889,0.5625,0.608695652173913
"VNW00071",0.67741935483871,0.725806451612903,0.617647058823529,0.611940298507463,0.666666666666667,0.661971830985915,0.493506493506494,1,0.710526315789474,0.58,0.582089552238806,0.58974358974359,0.67948717948718,0.641025641025641,0.591549295774648,0.628205128205128,0.576923076923077,0.681159420289855,0.628205128205128,NA,0.615384615384615,0.692307692307692,0.58974358974359,0.692307692307692,NA,0.62962962962963,0.622222222222222,0.703125,0.564102564102564,0.628205128205128,0.58974358974359,NA,0.641025641025641,0.628205128205128,0.666666666666667,0.5625,0.589041095890411,0.481481481481481,0.58695652173913,0.564102564102564,0.653846153846154,0.628205128205128,0.58974358974359,0.666666666666667,0.641025641025641,0.659574468085106,0.653846153846154,0.574074074074074,0.619718309859155,0.615384615384615,0.628205128205128,0.651162790697674,0.666666666666667,0.657894736842105,0.630434782608696,0.483870967741935,0.645161290322581,0.583333333333333,0.743589743589744,0.604651162790698,0.6875,0.558441558441558,0.612244897959184,0.588235294117647,0.711111111111111,0.648148148148148,0.555555555555556,0.604166666666667,0.666666666666667
"VDMWL321",NA,NA,0.357142857142857,0.612903225806452,0.666666666666667,0.727272727272727,0.459459459459459,0.710526315789474,1,0.625,0.6,0.625,0.625,0.65,0.425,0.65,0.475,0.675,0.575,0.538461538461538,0.535714285714286,0.6,0.631578947368421,0.65,NA,NA,0.625,0.7,0.625,0.7,0.55,NA,0.675,0.525,0.575,NA,0.55,0.413793103448276,0.65,0.525,0.684210526315789,0.6,0.6,0.6,0.538461538461538,0.625,0.625,NA,0.483870967741935,0.6,0.55,0.575,0.53125,0.675,0.675,NA,0.65,0.6,0.7,NA,NA,0.567567567567568,NA,NA,NA,NA,NA,NA,NA
"VRW00012",0.617647058823529,0.647058823529412,0.575,0.697674418604651,0.644444444444444,0.666666666666667,0.551020408163265,0.58,0.625,1,0.730769230769231,0.48780487804878,0.596153846153846,0.75,0.576923076923077,0.634615384615385,0.519230769230769,0.615384615384615,0.634615384615385,0.538461538461538,0.535714285714286,0.653846153846154,0.64,0.711538461538462,NA,0.730769230769231,0.574468085106383,0.692307692307692,0.609756097560976,0.634615384615385,0.461538461538462,NA,0.634615384615385,0.576923076923077,0.56,0.694444444444444,0.634615384615385,0.344827586206897,0.604166666666667,0.51219512195122,0.64,0.461538461538462,0.634615384615385,0.692307692307692,0.627450980392157,0.571428571428571,0.711538461538462,0.653846153846154,0.581395348837209,0.576923076923077,0.576923076923077,0.533333333333333,0.5,0.6,0.5,0.617647058823529,0.730769230769231,0.574468085106383,0.769230769230769,NA,NA,0.571428571428571,NA,NA,NA,0.692307692307692,0.67741935483871,NA,NA
