"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VDMLR040",0,0.015625,0.025974025974026,0.0172413793103448,0.0172413793103448,0.0333333333333333,0.0116279069767442,0.032258064516129,NA,NA,0.0196078431372549,NA,0.0319148936170213,0.0144927536231884,0.0363636363636364,0.0319148936170213,0.0114942528735632,0.0188679245283019,0.028169014084507,NA,NA,0.03125,0.0638297872340425,0.0212765957446809,NA,0.0253164556962025,NA,NA,NA,0.025974025974026,0.0531914893617021,NA,0.0212765957446809,0.0106382978723404,NA,0.0138888888888889,0.0175438596491228,NA,NA,NA,0.025,0.0461538461538462,0.0793650793650794,NA,0.0319148936170213,NA,0.0138888888888889,0.0116279069767442,0.0483870967741935,0.0140845070422535,0.0549450549450549,NA,NA,NA,NA,0.03125,NA,0.0508474576271186,0.0158730158730159,NA,0.046875,0.0117647058823529,0.0246913580246914,0,0,0.0357142857142857,NA,NA,0
"VDMWL101",0.015625,0,0,0,0,0.0166666666666667,0,0.0161290322580645,NA,NA,0,NA,0.03125,0,0.0181818181818182,0.015625,0,0,0.015625,NA,NA,0.015625,0.0625,0.015625,NA,0.0178571428571429,NA,NA,NA,0.015625,0,NA,0,0,NA,0,0,NA,NA,NA,0.015625,0.03125,0.0634920634920635,NA,0,NA,0,0.0178571428571429,0.032258064516129,0,0.0625,NA,NA,NA,NA,0.015625,NA,0.0338983050847458,0,NA,NA,0,0.0392156862745098,0,NA,0.0357142857142857,NA,NA,0
"IWRD578A",0.025974025974026,0,0,0,0,0.0151515151515152,0.0120481927710843,0.0147058823529412,NA,NA,0,NA,0.0481927710843374,0.0133333333333333,0.0163934426229508,0.0240963855421687,0.0240963855421687,0,0.025974025974026,NA,NA,0.0285714285714286,0.0602409638554217,0.0240963855421687,NA,0.0434782608695652,NA,0,NA,0.0240963855421687,0.0240963855421687,NA,0.0240963855421687,0.0240963855421687,NA,0.0135135135135135,0,NA,NA,NA,0.0240963855421687,0.0422535211267606,0.072463768115942,NA,0.036144578313253,NA,0.0128205128205128,0.0289855072463768,0.0294117647058824,0.012987012987013,0.0602409638554217,NA,NA,NA,NA,0.015625,0,0.0307692307692308,0,NA,NA,0.0120481927710843,0.046875,0.0151515151515152,0.0166666666666667,0.0357142857142857,NA,NA,0.0151515151515152
"VDMLR25Q",0.0172413793103448,0,0,0,0,0.0149253731343284,0,0.0149253731343284,NA,NA,0,NA,0.0447761194029851,0,0.015625,0.0149253731343284,0.0149253731343284,0,0.0149253731343284,NA,NA,0.0298507462686567,0.0447761194029851,0,NA,0.02,NA,0,NA,0.0149253731343284,0.0149253731343284,NA,0,0.0149253731343284,NA,0,0,NA,NA,NA,0.0149253731343284,0.0447761194029851,0.0746268656716418,0.02,0.0149253731343284,NA,0,0.02,0.0298507462686567,0,0.0597014925373134,NA,NA,NA,NA,0,0,0.0447761194029851,0,NA,NA,0,NA,NA,NA,0.04,NA,NA,NA
"VDMWL081",0.0172413793103448,0,0,0,0,0.0144927536231884,0,0.0144927536231884,NA,NA,0,NA,0.0434782608695652,0,0.0151515151515152,0.0144927536231884,0.0144927536231884,0,0.0289855072463768,NA,NA,0.0289855072463768,0.0434782608695652,0,NA,0.02,NA,0,NA,0.0144927536231884,0.0144927536231884,NA,0,0.0144927536231884,NA,0,0,NA,NA,NA,0.0144927536231884,0.0434782608695652,0.072463768115942,0.0192307692307692,0.0144927536231884,NA,0,0.02,0.0298507462686567,0,0.0579710144927536,NA,NA,NA,NA,0,0,0.0434782608695652,0,NA,NA,0,NA,NA,NA,0.04,NA,NA,NA
"VDMWL111",0.0333333333333333,0.0166666666666667,0.0151515151515152,0.0149253731343284,0.0144927536231884,0,0.0140845070422535,0.028169014084507,NA,NA,0.0161290322580645,NA,0.0563380281690141,0.0140845070422535,0.0303030303030303,0.028169014084507,0.028169014084507,0.015625,0.0422535211267606,NA,NA,0.0422535211267606,0.0563380281690141,0.0140845070422535,NA,0.0384615384615385,NA,0.0169491525423729,NA,0.028169014084507,0.028169014084507,NA,0.0140845070422535,0.028169014084507,NA,0.0161290322580645,0.0147058823529412,NA,NA,NA,0.028169014084507,0.0563380281690141,0.0563380281690141,0.0384615384615385,0.028169014084507,NA,0.0140845070422535,0.0384615384615385,0.0434782608695652,0.0140845070422535,0.0704225352112676,NA,NA,NA,NA,0.0166666666666667,0.0175438596491228,0.0571428571428571,0.0140845070422535,NA,NA,0.0140845070422535,NA,NA,NA,0.0576923076923077,NA,NA,NA
"WOE0002Q",0.0116279069767442,0,0.0120481927710843,0,0,0.0140845070422535,0,0.012987012987013,NA,NA,0,NA,0.0297029702970297,0,0.0142857142857143,0.0099009900990099,0.0099009900990099,0,0.0232558139534884,NA,NA,0.0253164556962025,0.0396039603960396,0.0099009900990099,NA,0.0256410256410256,NA,0,NA,0.0108695652173913,0.0396039603960396,NA,0.0099009900990099,0.0099009900990099,NA,0,0,NA,NA,NA,0.0105263157894737,0.0375,0.0641025641025641,0.0178571428571429,0.0198019801980198,NA,0,0.0128205128205128,0.028169014084507,0,0.0396039603960396,NA,NA,NA,NA,0.015625,0,0.0416666666666667,0,NA,0.0535714285714286,0,0.0273972602739726,0,0,0.0357142857142857,NA,NA,0
"VNW00071",0.032258064516129,0.0161290322580645,0.0147058823529412,0.0149253731343284,0.0144927536231884,0.028169014084507,0.012987012987013,0,NA,0.04,0.0149253731343284,NA,0.0512820512820513,0.0128205128205128,0.028169014084507,0.0256410256410256,0.0256410256410256,0.0144927536231884,0.0384615384615385,NA,NA,0.0384615384615385,0.0512820512820513,0.0128205128205128,NA,0.037037037037037,NA,0.015625,NA,0.0256410256410256,0.0256410256410256,NA,0.0128205128205128,0.0256410256410256,NA,0.015625,0.0136986301369863,NA,NA,NA,0.0256410256410256,0.0512820512820513,0.0769230769230769,0.0350877192982456,0.0256410256410256,NA,0.0128205128205128,0.037037037037037,0.0422535211267606,0.0128205128205128,0.0641025641025641,NA,NA,NA,NA,0.032258064516129,0.0161290322580645,0.0555555555555556,0.0128205128205128,NA,NA,0.012987012987013,NA,0.0196078431372549,NA,0.0555555555555556,NA,NA,0.0196078431372549
"VDMWL321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00012",NA,NA,NA,NA,NA,NA,NA,0.04,NA,0,0.0192307692307692,NA,0.0576923076923077,0.0192307692307692,0.0384615384615385,0.0192307692307692,0.0384615384615385,0.0192307692307692,0.0384615384615385,NA,NA,0.0576923076923077,0.04,0.0192307692307692,NA,NA,NA,0.0192307692307692,NA,0.0192307692307692,0.0384615384615385,NA,0.0192307692307692,0.0576923076923077,0.02,NA,0.0192307692307692,NA,NA,NA,0.02,0.0576923076923077,0.0576923076923077,0.0192307692307692,0.0392156862745098,NA,0.0192307692307692,NA,NA,0.0192307692307692,0.0769230769230769,NA,NA,NA,NA,NA,0.0192307692307692,NA,0.0192307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
